,variable,type,X0.,X5.,X10.,X15.,X20.,X25.,X30.,X35.,X40.,X45.,X50.,X55.,X60.,X65.,X70.,X75.,X80.,X85.,X90.,X95.,X100.,sysBPLow,sysBPHi
1,sysBP,LVO,-0.88,-0.14,-0.03,0.05,0.12,0.17,0.23,0.26,0.31,0.36,0.4,0.45,0.49,0.54,0.6,0.66,0.72,0.81,0.91,1.09,2.25,,
2,sysBP,Not LVO,-0.88,-0.11,0.01,0.1,0.16,0.21,0.26,0.31,0.36,0.41,0.45,0.5,0.55,0.61,0.66,0.72,0.8,0.88,1,1.18,2.25,,
3,sysBP,Hemorrhagic,-0.88,-0.1,0.03,0.11,0.17,0.24,0.29,0.35,0.4,0.45,0.5,0.56,0.62,0.7,0.76,0.85,0.94,1.04,1.19,1.38,2.25,,
4,sysBP,Stroke Mimic,-0.88,-0.12,0,0.07,0.14,0.19,0.24,0.29,0.33,0.38,0.41,0.46,0.5,0.55,0.61,0.68,0.75,0.82,0.91,1.07,2.23,,
5,diasBP,LVO,,,,,,,,,,,,,,,,,,,,,,,
6,diasBP,LVO,-1,-0.6,-0.52,-0.47,-0.43,-0.4,-0.38,-0.35,-0.33,-0.3,-0.27,-0.25,-0.22,-0.2,-0.17,-0.13,-0.1,-0.07,0,0.1,1.9,-0.88,-0.14
7,diasBP,LVO,-1,-0.47,-0.4,-0.35,-0.32,-0.28,-0.25,-0.22,-0.2,-0.17,-0.15,-0.12,-0.1,-0.07,-0.03,-0.02,0.02,0.07,0.12,0.22,1.77,-0.14,-0.03
8,diasBP,LVO,-0.98,-0.43,-0.37,-0.32,-0.27,-0.23,-0.2,-0.17,-0.15,-0.12,-0.08,-0.07,-0.03,-0.02,0,0.03,0.07,0.12,0.17,0.27,1.28,-0.03,0.05
9,diasBP,LVO,-1,-0.4,-0.33,-0.28,-0.23,-0.2,-0.17,-0.13,-0.1,-0.08,-0.05,-0.03,0,0.03,0.05,0.08,0.12,0.17,0.22,0.32,1.4,0.05,0.12
10,diasBP,LVO,-0.98,-0.37,-0.3,-0.25,-0.2,-0.17,-0.13,-0.1,-0.07,-0.05,-0.02,0,0.03,0.07,0.1,0.12,0.17,0.2,0.27,0.35,1.53,0.12,0.17
11,diasBP,LVO,-1,-0.35,-0.28,-0.23,-0.2,-0.15,-0.12,-0.08,-0.07,-0.03,0,0.02,0.05,0.08,0.12,0.15,0.18,0.23,0.28,0.38,1.7,0.17,0.23
