Time,LogitFit,LogitSE
0,0.5587946,0.0362479
0.024024,0.5587946,0.0362479
0.048048,0.5587946,0.0362479
0.0720721,0.5587946,0.0362479
0.0960961,0.5587946,0.0362479
0.1201201,0.5587946,0.0362479
0.1441441,0.5587946,0.0362479
0.1681682,0.5587946,0.0362479
0.1921922,0.5587946,0.0362479
0.2162162,0.5587946,0.0362479
0.2402402,0.5587946,0.0362479
0.2642643,0.5587946,0.0362479
0.2882883,0.5587946,0.0362479
0.3123123,0.5587946,0.0362479
0.3363363,0.5587946,0.0362479
0.3603604,0.5587946,0.0362479
0.3843844,0.5587946,0.0362479
0.4084084,0.5587946,0.0362479
0.4324324,0.5587946,0.0362479
0.4564565,0.5587946,0.0362479
0.4804805,0.5587946,0.0362479
0.5045045,0.5587946,0.0362479
0.5285285,0.5587946,0.0362479
0.5525526,0.5587946,0.0362479
0.5765766,0.5587946,0.0362479
0.6006006,0.5587946,0.0362479
0.6246246,0.5587946,0.0362479
0.6486486,0.5587946,0.0362479
0.6726727,0.5587946,0.0362479
0.6966967,0.5587946,0.0362479
0.7207207,0.5587946,0.0362479
0.7447447,0.5587946,0.0362479
0.7687688,0.5587946,0.0362479
0.7927928,0.5587946,0.0362479
0.8168168,0.5587946,0.0362479
0.8408408,0.5587946,0.0362479
0.8648649,0.5587946,0.0362479
0.8888889,0.5587946,0.0362479
0.9129129,0.5587946,0.0362479
0.9369369,0.5587946,0.0362479
0.960961,0.5587946,0.0362479
0.984985,0.5587946,0.0362479
1.009009,0.5587946,0.0362479
1.033033,0.5587946,0.0362479
1.0570571,0.5587946,0.0362479
1.0810811,0.5587946,0.0362479
1.1051051,0.5587946,0.0362479
1.1291291,0.5587946,0.0362479
1.1531532,0.5587946,0.0362479
1.1771772,0.5587946,0.0362479
1.2012012,0.5587946,0.0362479
1.2252252,0.5587946,0.0362479
1.2492492,0.5587946,0.0362479
1.2732733,0.5587946,0.0362479
1.2972973,0.5587946,0.0362479
1.3213213,0.5587946,0.0362479
1.3453453,0.5587946,0.0362479
1.3693694,0.5587946,0.0362479
1.3933934,0.5587946,0.0362479
1.4174174,0.5587946,0.0362479
1.4414414,0.5587946,0.0362479
1.4654655,0.5587946,0.0362479
1.4894895,0.5587946,0.0362479
1.5135135,0.5587946,0.0362479
1.5375375,0.5587946,0.0362479
1.5615616,0.5587946,0.0362479
1.5855856,0.5587946,0.0362479
1.6096096,0.5587946,0.0362479
1.6336336,0.5587946,0.0362479
1.6576577,0.5587946,0.0362479
1.6816817,0.5587946,0.0362479
1.7057057,0.5587946,0.0362479
1.7297297,0.5587946,0.0362479
1.7537538,0.5587946,0.0362479
1.7777778,0.5587946,0.0362479
1.8018018,0.5587946,0.0362479
1.8258258,0.5587946,0.0362479
1.8498498,0.5587946,0.0362479
1.8738739,0.5587946,0.0362479
1.8978979,0.5587946,0.0362479
1.9219219,0.5587946,0.0362479
1.9459459,0.5587946,0.0362479
1.96997,0.5587946,0.0362479
1.993994,0.5587946,0.0362479
2.018018,0.5587946,0.0362479
2.042042,0.5587946,0.0362479
2.0660661,0.5587946,0.0362479
2.0900901,0.5587946,0.0362479
2.1141141,0.5587946,0.0362479
2.1381381,0.5587946,0.0362479
2.1621622,0.5587946,0.0362479
2.1861862,0.5587946,0.0362479
2.2102102,0.5587946,0.0362479
2.2342342,0.5587946,0.0362479
2.2582583,0.5587946,0.0362479
2.2822823,0.5587946,0.0362479
2.3063063,0.5587946,0.0362479
2.3303303,0.5587946,0.0362479
2.3543544,0.5587946,0.0362479
2.3783784,0.5587946,0.0362479
2.4024024,0.5587946,0.0362479
2.4264264,0.5587946,0.0362479
2.4504505,0.5587946,0.0362479
2.4744745,0.5587946,0.0362479
2.4984985,0.5587946,0.0362479
2.5225225,0.5587946,0.0362479
2.5465465,0.5587946,0.0362479
2.5705706,0.5587946,0.0362479
2.5945946,0.5587946,0.0362479
2.6186186,0.5587946,0.0362479
2.6426426,0.5587946,0.0362479
2.6666667,0.5587946,0.0362479
2.6906907,0.5587946,0.0362479
2.7147147,0.5587946,0.0362479
2.7387387,0.5587946,0.0362479
2.7627628,0.5587946,0.0362479
2.7867868,0.5587946,0.0362479
2.8108108,0.5587946,0.0362479
2.8348348,0.5587946,0.0362479
2.8588589,0.5587946,0.0362479
2.8828829,0.5587946,0.0362479
2.9069069,0.5587946,0.0362479
2.9309309,0.5587946,0.0362479
2.954955,0.5587946,0.0362479
2.978979,0.5587946,0.0362479
3.003003,0.5582608,0.0362004
3.027027,0.5540001,0.0358223
3.0510511,0.5497566,0.0354482
3.0750751,0.5455302,0.0350779
3.0990991,0.541321,0.0347114
3.1231231,0.5371287,0.0343489
3.1471471,0.5329536,0.0339902
3.1711712,0.5287954,0.0336355
3.1951952,0.5246541,0.0332847
3.2192192,0.5205297,0.0329378
3.2432432,0.5164222,0.0325949
3.2672673,0.5123316,0.0322559
3.2912913,0.5082577,0.0319209
3.3153153,0.5042006,0.03159
3.3393393,0.5001601,0.031263
3.3633634,0.4961364,0.0309401
3.3873874,0.4921292,0.0306212
3.4114114,0.4881387,0.0303064
3.4354354,0.4841647,0.0299956
3.4594595,0.4802072,0.029689
3.4834835,0.4762662,0.0293865
3.5075075,0.4723416,0.029088
3.5315315,0.4684334,0.0287938
3.5555556,0.4645415,0.0285037
3.5795796,0.460666,0.0282177
3.6036036,0.4568067,0.027936
3.6276276,0.4529636,0.0276584
3.6516517,0.4491368,0.0273851
3.6756757,0.4453261,0.0271161
3.6996997,0.4415315,0.0268512
3.7237237,0.437753,0.0265907
3.7477477,0.4339905,0.0263344
3.7717718,0.430244,0.0260824
3.7957958,0.4265134,0.0258347
3.8198198,0.4227988,0.0255914
3.8438438,0.4191,0.0253524
3.8678679,0.4154171,0.0251177
3.8918919,0.41175,0.0248874
3.9159159,0.4080986,0.0246615
3.9399399,0.404463,0.02444
3.963964,0.400843,0.0242228
3.987988,0.3972386,0.0240101
4.012012,0.3936499,0.0238017
4.036036,0.3900767,0.0235978
4.0600601,0.386519,0.0233983
4.0840841,0.3829768,0.0232032
4.1081081,0.37945,0.0230125
4.1321321,0.3759387,0.0228263
4.1561562,0.3724426,0.0226445
4.1801802,0.368962,0.0224671
4.2042042,0.3654965,0.0222942
4.2282282,0.3620464,0.0221257
4.2522523,0.3586114,0.0219615
4.2762763,0.3551916,0.0218019
4.3003003,0.3517869,0.0216466
4.3243243,0.3483973,0.0214957
4.3483483,0.3450227,0.0213491
4.3723724,0.3416631,0.021207
4.3963964,0.3383185,0.0210692
4.4204204,0.3349888,0.0209357
4.4444444,0.331674,0.0208065
4.4684685,0.3283741,0.0206817
4.4924925,0.3250889,0.020561
4.5165165,0.3218185,0.0204447
4.5405405,0.3185628,0.0203325
4.5645646,0.3153218,0.0202245
4.5885886,0.3120955,0.0201207
4.6126126,0.3088838,0.020021
4.6366366,0.3056866,0.0199254
4.6606607,0.3025039,0.0198338
4.6846847,0.2993358,0.0197462
4.7087087,0.2961821,0.0196626
4.7327327,0.2930428,0.0195829
4.7567568,0.2899178,0.019507
4.7807808,0.2868072,0.019435
4.8048048,0.2837109,0.0193667
4.8288288,0.2806288,0.0193022
4.8528529,0.2775609,0.0192413
4.8768769,0.2745072,0.0191841
4.9009009,0.2714676,0.0191304
4.9249249,0.2684422,0.0190802
4.9489489,0.2654307,0.0190334
4.972973,0.2624333,0.0189901
4.996997,0.2594498,0.01895
5.021021,0.2564803,0.0189132
5.045045,0.2535247,0.0188796
5.0690691,0.2505829,0.0188491
5.0930931,0.2476549,0.0188216
5.1171171,0.2447407,0.0187972
5.1411411,0.2418403,0.0187757
5.1651652,0.2389535,0.018757
5.1891892,0.2360804,0.0187411
5.2132132,0.2332209,0.018728
5.2372372,0.230375,0.0187175
5.2612613,0.2275426,0.0187095
5.2852853,0.2247237,0.0187041
5.3093093,0.2219182,0.0187011
5.3333333,0.2191262,0.0187005
5.3573574,0.2163475,0.0187022
5.3813814,0.2135822,0.0187061
5.4054054,0.2108302,0.0187122
5.4294294,0.2080914,0.0187204
5.4534535,0.2053659,0.0187306
5.4774775,0.2026535,0.0187428
5.5015015,0.1999543,0.0187568
5.5255255,0.1972682,0.0187727
5.5495495,0.1945951,0.0187903
5.5735736,0.191935,0.0188096
5.5975976,0.1892879,0.0188306
5.6216216,0.1866538,0.0188531
5.6456456,0.1840326,0.0188771
