"Type","TimeType","Count","Quantile.0.","Quantile.5.","Quantile.10.","Quantile.15.","Quantile.20.","Quantile.25.","Quantile.30.","Quantile.35.","Quantile.40.","Quantile.45.","Quantile.50.","Quantile.55.","Quantile.60.","Quantile.65.","Quantile.70.","Quantile.75.","Quantile.80.","Quantile.85.","Quantile.90.","Quantile.95.","Quantile.100.","state","state_code","state_name"
"PSC","TPA",338,0.28,0.47,0.53,0.57,0.6,0.64,0.68,0.72,0.75,0.78,0.83,0.88,0.92,0.97,1.02,1.08,1.24,1.4,1.59,1.94,4.02,"AK","02","Alaska"
"Mothership","TPA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AK","02","Alaska"
"Mothership","MT(TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AK","02","Alaska"
"Mothership","MT(No TPA)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AK","02","Alaska"
"Transfer","TPA",3,0.28,0.32,0.35,0.39,0.42,0.46,0.49,0.53,0.56,0.6,0.63,0.72,0.8,0.89,0.97,1.06,1.14,1.23,1.31,1.4,1.48,"AK","02","Alaska"
"Transfer","MT",64,0.35,0.6,0.69,0.81,0.88,0.9,0.96,1.14,1.22,1.24,1.43,1.58,1.82,1.95,2.05,2.23,2.42,2.76,2.92,3.59,6.52,"AK","02","Alaska"
"Transfer","Transfer",330,0.02,0.52,0.65,0.76,0.9,1.12,1.28,1.42,1.67,1.78,1.98,2.1,2.31,2.55,2.85,3.13,4.19,5.41,7.72,10.28,11.82,"AK","02","Alaska"
"Transfer","DIDO",205,0.32,0.94,1.25,1.43,1.63,1.87,2.04,2.22,2.49,2.82,3.07,3.27,3.56,3.85,4.27,4.58,5.26,5.85,6.73,7.91,11.68,"AK","02","Alaska"
"LKW to EMS","LKW to EMS",392,0.02,0.13,0.22,0.3,0.37,0.5,0.58,0.68,0.92,1.2,1.43,1.6,2.09,2.72,3.42,4.49,5.85,6.94,8.08,10.36,11.78,"AK","02","Alaska"
"PSC","TPA",1364,0.1,0.38,0.47,0.53,0.6,0.65,0.72,0.78,0.85,0.9,0.95,1,1.07,1.13,1.2,1.33,1.43,1.59,1.8,2.13,8,"AL","01","Alabama"
"Mothership","TPA",199,0.08,0.39,0.5,0.53,0.58,0.62,0.65,0.68,0.72,0.77,0.8,0.86,0.9,0.97,1.01,1.07,1.17,1.24,1.36,1.49,2.8,"AL","01","Alabama"
"Mothership","MT(TPA)",70,0.25,0.48,0.5,0.54,0.6,0.62,0.63,0.65,0.69,0.72,0.77,0.82,0.84,0.9,0.92,1.03,1.09,1.17,1.41,2.31,8.57,"AL","01","Alabama"
"Mothership","MT(No TPA)",279,0.1,0.83,0.93,1.02,1.08,1.14,1.18,1.25,1.32,1.39,1.45,1.5,1.58,1.63,1.68,1.8,1.91,2.1,2.37,3.03,10.4,"AL","01","Alabama"
"Transfer","TPA",13,0.18,0.2,0.23,0.28,0.31,0.32,0.33,0.38,0.51,0.6,0.68,0.79,0.87,0.87,0.89,0.92,0.93,0.94,0.95,1.08,1.28,"AL","01","Alabama"
"Transfer","MT",133,0.23,0.46,0.62,0.7,0.73,0.8,0.86,0.9,0.95,0.99,1.08,1.17,1.24,1.33,1.49,1.65,1.96,2.2,2.61,3.7,11.08,"AL","01","Alabama"
"Transfer","Transfer",1157,0.02,0.32,0.42,0.53,0.65,0.73,0.85,0.95,1.03,1.15,1.27,1.42,1.58,1.78,2.03,2.43,3.28,5.22,8.55,10.71,11.98,"AL","01","Alabama"
"Transfer","DIDO",985,0.03,0.93,1.21,1.46,1.63,1.88,2.12,2.37,2.65,2.95,3.18,3.47,3.84,4.18,4.56,5,5.54,6.26,7.22,8.6,11.93,"AL","01","Alabama"
"LKW to EMS","LKW to EMS",406,0.02,0.15,0.2,0.28,0.37,0.47,0.57,0.71,0.93,1.2,1.41,1.83,2.35,3.05,3.97,4.97,6.78,8.24,9.41,10.66,11.92,"AL","01","Alabama"
"PSC","TPA",1105,0.13,0.5,0.6,0.67,0.72,0.77,0.82,0.87,0.92,0.95,0.98,1.03,1.12,1.17,1.23,1.32,1.45,1.62,1.85,2.25,4.98,"AR","05","Arkansas"
"Mothership","TPA",638,0.02,0.32,0.38,0.43,0.48,0.52,0.57,0.62,0.65,0.7,0.75,0.8,0.85,0.92,0.98,1.08,1.16,1.3,1.47,1.82,3.43,"AR","05","Arkansas"
"Mothership","MT(TPA)",134,0.07,0.25,0.4,0.45,0.48,0.52,0.58,0.64,0.68,0.8,0.9,0.93,1,1.06,1.14,1.25,1.3,1.59,2.13,2.55,10.38,"AR","05","Arkansas"
"Mothership","MT(No TPA)",423,0.1,0.77,0.83,0.95,1.03,1.1,1.18,1.3,1.4,1.52,1.6,1.74,1.85,1.98,2.18,2.38,2.6,2.86,3.23,4.16,11.82,"AR","05","Arkansas"
"Transfer","TPA",9,0.05,0.12,0.18,0.24,0.3,0.35,0.39,0.43,0.46,0.47,0.48,0.51,0.54,0.57,0.62,0.67,0.68,0.69,0.74,0.83,0.92,"AR","05","Arkansas"
"Transfer","MT",304,0.1,0.25,0.28,0.3,0.35,0.37,0.4,0.43,0.49,0.56,0.62,0.67,0.73,0.83,0.98,1.13,1.31,1.66,2.05,2.88,9.73,"AR","05","Arkansas"
"Transfer","Transfer",1997,0.02,0.25,0.37,0.43,0.5,0.57,0.63,0.72,0.83,0.93,1.03,1.15,1.32,1.5,1.75,2.05,2.4,2.93,4.37,8.19,11.95,"AR","05","Arkansas"
"Transfer","DIDO",1392,0.08,1.08,1.38,1.62,1.83,2.02,2.21,2.37,2.57,2.78,3,3.22,3.44,3.72,4.03,4.42,4.87,5.55,6.67,9.09,11.88,"AR","05","Arkansas"
"LKW to EMS","LKW to EMS",2732,0.02,0.15,0.23,0.32,0.4,0.5,0.62,0.73,0.93,1.12,1.42,1.72,2.23,2.74,3.43,4.42,5.6,7.09,8.8,10.3,11.98,"AR","05","Arkansas"
"PSC","TPA",1157,0.1,0.42,0.48,0.53,0.58,0.63,0.67,0.7,0.76,0.8,0.85,0.9,0.95,1,1.07,1.13,1.23,1.4,1.62,2.1,5.92,"AZ","04","Arizona"
"Mothership","TPA",693,0.15,0.31,0.38,0.43,0.48,0.52,0.57,0.62,0.65,0.7,0.75,0.82,0.85,0.93,1.02,1.1,1.23,1.37,1.7,2.1,8.68,"AZ","04","Arizona"
"Mothership","MT(TPA)",164,0.02,0.19,0.32,0.44,0.5,0.58,0.7,0.73,0.8,0.89,0.99,1.05,1.13,1.22,1.3,1.4,1.52,1.68,1.96,2.99,6.02,"AZ","04","Arizona"
"Mothership","MT(No TPA)",565,0.05,0.15,0.2,0.27,0.33,0.4,0.47,0.57,0.68,0.8,0.93,1.08,1.28,1.42,1.55,1.75,1.93,2.23,2.7,3.63,10.67,"AZ","04","Arizona"
"Transfer","TPA",27,0.23,0.3,0.31,0.33,0.43,0.46,0.5,0.55,0.56,0.64,0.68,0.73,0.85,0.97,1.01,1.12,1.16,1.35,1.57,1.8,2.8,"AZ","04","Arizona"
"Transfer","MT",682,0.02,0.13,0.18,0.2,0.25,0.3,0.35,0.42,0.48,0.57,0.63,0.72,0.79,0.9,1.03,1.17,1.32,1.57,2.05,2.75,10.5,"AZ","04","Arizona"
"Transfer","Transfer",3708,0.02,0.15,0.27,0.35,0.42,0.48,0.55,0.62,0.7,0.78,0.9,1.03,1.22,1.43,1.72,2.08,2.57,3.32,5.19,9.06,11.98,"AZ","04","Arizona"
"Transfer","DIDO",2168,0.03,0.87,1.22,1.45,1.64,1.83,2.03,2.22,2.41,2.67,2.92,3.23,3.5,3.92,4.33,4.88,5.55,6.32,7.36,8.91,11.93,"AZ","04","Arizona"
"LKW to EMS","LKW to EMS",144,0.02,0.12,0.18,0.26,0.34,0.4,0.58,0.72,0.83,1.11,1.31,1.72,2.44,2.88,4.27,4.88,5.86,8.14,9,10.03,11.5,"AZ","04","Arizona"
"PSC","TPA",15891,0.02,0.38,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.83,0.9,0.95,1,1.1,1.2,1.32,1.48,1.72,2.17,11.75,"CA","06","California"
"Mothership","TPA",8298,0.03,0.32,0.37,0.4,0.45,0.48,0.53,0.57,0.6,0.65,0.7,0.73,0.78,0.83,0.9,0.97,1.07,1.2,1.4,1.8,11.48,"CA","06","California"
"Mothership","MT(TPA)",1869,0.02,0.3,0.45,0.53,0.62,0.68,0.77,0.82,0.88,0.95,1.02,1.1,1.18,1.25,1.33,1.43,1.55,1.7,1.9,2.38,11.68,"CA","06","California"
"Mothership","MT(No TPA)",3751,0.03,0.33,0.48,0.65,0.82,0.95,1.07,1.18,1.28,1.38,1.5,1.62,1.73,1.85,1.97,2.12,2.3,2.57,3.02,3.98,11.62,"CA","06","California"
"Transfer","TPA",112,0.05,0.19,0.24,0.35,0.42,0.47,0.48,0.55,0.57,0.62,0.66,0.72,0.76,0.82,0.9,0.97,1.1,1.21,1.74,2.13,6.83,"CA","06","California"
"Transfer","MT",2004,0.02,0.27,0.35,0.43,0.5,0.55,0.62,0.67,0.73,0.8,0.87,0.95,1.05,1.15,1.28,1.4,1.62,1.87,2.23,3.21,11.52,"CA","06","California"
"Transfer","Transfer",13420,0.02,0.23,0.33,0.4,0.47,0.53,0.6,0.68,0.75,0.83,0.92,1.02,1.17,1.32,1.53,1.87,2.43,3.58,5.87,9.43,11.98,"CA","06","California"
"Transfer","DIDO",8562,0.02,1.02,1.28,1.52,1.73,1.92,2.15,2.38,2.63,2.9,3.23,3.55,3.95,4.38,4.85,5.43,6.08,6.97,8.03,9.58,11.98,"CA","06","California"
"LKW to EMS","LKW to EMS",30580,0.02,0.13,0.2,0.27,0.33,0.42,0.5,0.62,0.75,0.95,1.22,1.57,2,2.57,3.32,4.25,5.5,7.05,8.73,10.4,11.98,"CA","06","California"
"PSC","TPA",2334,0.02,0.33,0.4,0.45,0.48,0.53,0.57,0.62,0.65,0.68,0.73,0.78,0.83,0.88,0.95,1.02,1.12,1.23,1.42,1.82,7.12,"CO","08","Colorado"
"Mothership","TPA",851,0.03,0.22,0.25,0.3,0.35,0.38,0.43,0.47,0.52,0.57,0.62,0.67,0.72,0.77,0.83,0.9,1.03,1.16,1.37,1.75,5.83,"CO","08","Colorado"
"Mothership","MT(TPA)",181,0.1,0.37,0.4,0.43,0.52,0.57,0.63,0.7,0.75,0.78,0.85,0.9,0.97,1.07,1.22,1.28,1.52,1.65,1.95,2.28,6.03,"CO","08","Colorado"
"Mothership","MT(No TPA)",470,0.02,0.28,0.37,0.45,0.53,0.58,0.63,0.68,0.73,0.78,0.88,1,1.1,1.25,1.42,1.56,1.75,1.96,2.42,3.2,10.52,"CO","08","Colorado"
"Transfer","TPA",20,0.22,0.28,0.36,0.39,0.47,0.48,0.51,0.55,0.62,0.66,0.68,0.7,0.72,0.77,0.84,0.86,0.98,1.31,1.43,1.65,1.65,"CO","08","Colorado"
"Transfer","MT",171,0.02,0.21,0.3,0.38,0.45,0.52,0.57,0.64,0.68,0.76,0.83,0.89,0.97,1.08,1.2,1.26,1.42,1.53,1.72,2.13,11.57,"CO","08","Colorado"
"Transfer","Transfer",2039,0.02,0.23,0.33,0.38,0.42,0.47,0.5,0.55,0.6,0.63,0.7,0.78,0.85,0.98,1.08,1.27,1.57,1.97,2.52,4.06,11.82,"CO","08","Colorado"
"Transfer","DIDO",1676,0.12,1.03,1.32,1.52,1.72,1.93,2.13,2.32,2.53,2.82,3.08,3.38,3.67,4.05,4.47,4.9,5.45,6.18,7.1,8.57,11.93,"CO","08","Colorado"
"LKW to EMS","LKW to EMS",1349,0.02,0.15,0.23,0.3,0.37,0.45,0.55,0.68,0.85,1.05,1.35,1.72,2.08,2.62,3.3,4.28,5.58,7.28,8.94,10.59,11.98,"CO","08","Colorado"
"PSC","TPA",1361,0.08,0.48,0.58,0.65,0.68,0.73,0.78,0.83,0.87,0.92,0.97,1.03,1.12,1.17,1.25,1.37,1.5,1.68,1.9,2.28,10.73,"CT","09","Connecticut"
"Mothership","TPA",642,0.02,0.47,0.58,0.62,0.65,0.72,0.75,0.8,0.83,0.88,0.94,1,1.07,1.13,1.2,1.32,1.42,1.6,1.78,2.45,5.92,"CT","09","Connecticut"
"Mothership","MT(TPA)",166,0.17,0.56,0.75,0.88,0.98,1.07,1.11,1.17,1.23,1.28,1.34,1.4,1.45,1.58,1.7,1.8,1.88,2.07,2.18,2.98,5.43,"CT","09","Connecticut"
"Mothership","MT(No TPA)",471,0.55,0.99,1.18,1.38,1.53,1.67,1.77,1.85,1.98,2.13,2.23,2.37,2.52,2.68,2.8,2.99,3.32,3.66,4.32,5.1,10.23,"CT","09","Connecticut"
"Transfer","TPA",39,0.18,0.38,0.43,0.56,0.59,0.64,0.73,0.79,0.88,0.93,0.93,0.93,1.03,1.08,1.16,1.22,1.33,1.67,1.78,2.04,2.72,"CT","09","Connecticut"
"Transfer","MT",503,0.03,0.58,0.7,0.78,0.88,0.96,1.03,1.15,1.22,1.32,1.43,1.57,1.7,1.85,2.05,2.22,2.48,2.73,3.31,4.16,11.57,"CT","09","Connecticut"
"Transfer","Transfer",1334,0.02,0.15,0.28,0.4,0.5,0.62,0.75,0.9,1.09,1.32,1.88,2.65,3.55,4.87,6.79,8.1,9.11,10,10.8,11.51,11.97,"CT","09","Connecticut"
"Transfer","DIDO",499,0.02,1.02,1.32,1.58,1.78,1.98,2.17,2.39,2.64,2.95,3.27,3.62,3.98,4.38,4.71,5.13,5.75,6.54,7.8,8.98,11.77,"CT","09","Connecticut"
"LKW to EMS","LKW to EMS",1717,0.02,0.15,0.23,0.32,0.4,0.5,0.6,0.78,0.95,1.2,1.53,1.9,2.31,3.03,3.74,4.83,6.31,8.14,9.45,10.8,11.98,"CT","09","Connecticut"
"PSC","TPA",100,0.05,0.53,0.62,0.68,0.71,0.8,0.88,0.92,0.97,0.99,1.02,1.09,1.18,1.22,1.32,1.55,1.62,1.8,2.04,3.09,4.08,"DC","11","District of Columbia"
